ngram,frequency
\mt weak equivalence,1
diagram model category,1
diagram model,1
arbitrary object,1
same object,1
previous article,1
specific class,1
split epimorphism,1
relative notion,1
natural mal’tsevness,1
classical principal bundle,1
path space,1
local datum,1
transition functor,1
simple cotriple description,1
cotriple description,1
simplicial algebra,1
Chow group,1
Isbell duality,1
spectrum spec(l,1
prime filter,1
gleason cover,1
compact regular frame,1
regular frame,1
fibred topology,1
few basic result,1
basic result,1
suitable class,1
internal equivalence,1
horizontal composition,1
simplified description,1
crucial role,1
forthcoming paper,1
dimensional case,1
pseudomonadicity characterization,1
direct consequence,1
strict biadjoint triangle,1
brief application,1
kan extension,1
abelian algebra,1
quandle extension,1
site transfinite composition,1
transfinite composition,1
weak analog,1
algebraic closure,1
etale topology,1
classical invariant,1
algebraic context,1
central role,1
homological invariant,1
Euler form,1
close connection,1
part series,1
various basis,1
functorial passage,1
monoidal closed adjunction,1
closed adjunction,1
specified system,1
suitable choice,1
modest condition,1
such system,1
eleutheric system,1
object bicategory,1
variety theorem,1
equational subcategorie,1
suitable notion,1
equational subcategory,1
ambient algebraic category,1
algebraic category,1
small model category,1
small model,1
certain size condition,1
certain size,1
size condition,1
right properness,1
simplicial enrichment,1
canonical model structure,1
topological category,1
ordinary Euler characteristic,1
face category,1
categorical commutator,1
coterminal morphism,1
normal unital category,1
unital category,1
normal closure,1
regular image,1
arbitrary morphism,1
respective regular image,1
regular image,1
concrete aim,1
certain stability property,1
certain stability,1
ternary term,1
n+1)-ary term,1
permutable variety,1
abstract aim,1
proof technique,1
above characterisation,1
explicit new example,1
varietal proof,1
unconditional exactness property,1
unconditional exactness,1
approximate co,1
operation approach,1
dual notion,1
ultrametric space,1
approximate categorical structure,1
metric space,1
approximate categorical structure,1
right regular span,1
regular span,1
nonnegative real number,1
ary operation,1
Markov model,1
phylogenetic tree,1
genome datum,1
operad com,1
operad w(o,1
Eilenberg structure,1
combinatorial spectrum,1
such spectrum,1
geometric concept,1
strong equivalence,1
local equivalence,1
scale program,1
geometric viewpoint,1
homological descent,1
main motivation,1
functorial way,1
Hopf polyad,1
distinguished type,1
monoidal pseudofunctor,1
excellent model category,1
excellent model,1
category cat_s,1
characterizable fibrant object,1
other axiom,1
suitable set,1
bilinear map,1
simplicial Lie algebra,1
Kan type equivalence,1
Kan type,1
type equivalence,1
simplicial Lie algebra,1
several consequence,1
particular class,1
finite biproduct,1
general characterization,1
finiteness condition,1
key notion,1
Olschok model category,1
Olschok model,1
Sassone transition system,1
Sassone transition,1
homotopic past,1
similar state,1
last part,1
complete lattice i_d(s,1
lattice i_d(s,1
quantale r(s,1
quantale completion,1
category posgr_v,1
distributive join homomorphism,1
distributive join,1
join homomorphism,1
composable adjunction morphism,1
composable adjunction,1
adjunction morphism,1
Street model,1
free adjunction,1
composable lax monad,1
lax monad morphism,1
careful proof,1
underlying bisimplicial set,1
first column,1
holomorphic vector bundle,1
holomorphic vector,1
holomorphic bundle,1
Chern class,1
cotangent bundle,1
canonical line bundle,1
canonical line,1
line bundle,1
complex geometry,1
precise relationship,1
smooth gerbe,1
Atiyah class,1
Malgrange type theorem,1
Malgrange type,1
electrical engineering,1
nonabelian version,1
additional triviality condition,1
additional triviality,1
triviality condition,1
bilinear analog,1
bimonoidal category,1
bimonoidal structure,1
categorical ring,1
Mac Lane cohomology,1
Lane cohomology,1
unified way,1
fundamental system,1
uniform structure,1
transitive groupoid,1
Urysohn type lemma,1
Urysohn type,1
type lemma,1
metrization theorem,1
important tool,1
abstract setting,1
important result,1
Bianchi identity,1
complex structure,1
isomorphic description,1
archimedian approach space,1
archimedian approach,1
ultrafilter monad,1
appropriate quantale,1
archimedean approach space,1
archimedean approach,1
topological property,1
Hausdorff separation,1
separation property,1
extremal disconnectedness,1
level topology,1
compactification technique,1
fundamental lemma,1
many different lifting,1
different lifting,1
different version,1
acyclic model method,1
acyclic model,1
model method,1
axiomatic theory,1
neighbour relation,1
synthetic proof,1
wave front,1
orthogonal category,1
suitable length functor,1
suitable length,1
length functor,1
cancellative Levi category,1
Levi category,1
universal groupoid,1
cancellative Levi category,1
corresponding graph,1
free refinement,1
regular functor,1
respective effectivization,1
constructive proof,1
conceptual completeness,1
regular logic,1
regular functor,1
monad p^†,1
novel categorical structure,1
several new way,1
new way,1
Grothendieck category,1
compact open set,1
symmetric Frobenius structure,1
simple algebra,1
trivial so(2)-action,1
simple algebra,1
previous categorical model,1
functor model,1
sorted algebraic theory,1
principled way,1
null value,1
traditional database,1
programming language,1
schema functor,1
double categorical structure,1
homotopical structure,1
small weak cofibration,1
natural way,1
sufficient intrinsic condition,1
intrinsic condition,1
compact metrizable space,1
metrizable space,1
convenient formal property,1
general application,1
multiplier ideal sheaf,1
multiplier ideal,1
ideal sheaf,1
projective variety,1
kawamata log terminal,1
kawamata log,1
log terminal pair,1
log terminal,1
terminal pair,1
birational geometry,1
many setting,1
differential Galois theory,1
difference Galois theory,1
artinian simple module,1
simple module algebra,1
simple module,1
module algebra,1
Galois group,1
present approach,1
differential module,1
difference module,1
unified proof,1
general one,1
codomain functor,1
domain functor,1
such closure operator,1
such closure,1
microcosm principle,1
algebraic definition,1
various abstraction,1
category end(m,1
explicit relationship,1
Weil algebra,1
binary relation,1
epic cospan,1
equivalence relation corelation,1
relation corelation,1
special commutative bimonoid,1
commutative bimonoid,1
monadic subcategorie,1
injective consequence,1
sound logic,1
injectivity consequence,1
truncation set,1
Lambek et al,1
internal equivalence relation,1
later investigation,1
protomodular setting,1
regular Mal’tesv category,1
Mal’tesv category,1
full description,1
monoidal model category,1
genuine monoid,1
polynomial monad,1
many important monad,1
important monad,1
closed category category,1
category category,1
binary product structure,1
product structure,1
cartesian closed universe,1
closed universe category,1
closed universe,1
binary product structure,1
other application,1
simplicial nerve,1
nerve construction,1
Szep product,1
main application,1
Pardo algebra,1
standard method,1
certain state,1
ordinary Markov process,1
open piece,1
basic way,1
Markov process side,1
process side,1
monoidal double category,1
output datum,1
nonequilibrium steady state,1
nonzero flow,1
canonical group object,1
canonical group,1
localic group object,1
localic group,1
internal locale,1
new localic isotropy,1
stability property,1
original version,1
ordinary isotropy group,1
ordinary isotropy,1
localic version,1
isotropy quotient,1
atomic geometric morphism,1
atomic morphism,1
open isotropy action,1
open isotropy,1
isotropy action,1
atomic geometric morphism,1
logical formalism,1
main concept,1
different phenomenon,1
multiple sequence alignment,1
multiple sequence,1
sequence alignment,1
conceptual view,1
fibred sum,1
composite pseudomonad structure,1
composite pseudomonad,1
pseudomonad structure,1
Bruno construction,1
Bruno formula,1
alternative construction,1
open subobject classifier,1
open subobject,1
Sierpinski space,1
specialization pre,1
classic case,1
partial order,1
canonical homotopy,1
n+1)-algebra structure,1
operadic deformation complex,1
operadic deformation,1
deformation complex,1
\end \op,1
computational proof,1
suitable deformation functor,1
suitable deformation,1
deformation functor,1
new point,1
dg vector space,1
single dg vector,1
single dg,1
dg vector space,1
group \gammaa,1
natural Fell bundle,1
Fell bundle structure,1
Fell bundle,1
bundle structure,1
cocycle twisting,1
explicit computation,1
tangent category,1
axiomatic approach,1
key structural aspect,1
classical category,1
smooth vector bundle,1
smooth vector,1
arbitrary tangent category,1
arbitrary tangent,1
useful abstract conceptualization,1
abstract conceptualization,1
single morphism,1
suitable decomposition,1
vertical connection,1
limit diagram,1
semigroup homomorphism,1
inductive functor,1
inverse semicategorie,1
oplax functor,1
hopf algebra,1
bimodule coalgebra morphism,1
coalgebra morphism,1
smash product coalgebra,1
product coalgebra,1
explicit monoidal equivalence,1
monoidal equivalence,1
cosided Hopf module,1
Drinfeld module,1
categorical method,1
structure theorem,1
bi)comodule algebra,1
passive linear network,1
linear network,1
wide variety,1
engineering application,1
marked input,1
output terminal,1
same external behavior,1
same relation,1
symplectic vector space,1
symplectic vector,1
lagrangian linear relation,1
lagrangian linear relation,1
circuit theory,1
symplectic linear algebra,1
linear algebra,1
similar diagram,1
general network,1
chemical component,1
conductive wire,1
passive linear component,1
linear component,1
current source,1
natural prop,1
boxing functor,1
original construction,1
nonlinear component,1
key tool,1
Walters result,1
monadic adjunction,1
effective orbifold,1
spark complex,1
good atla,1
compatible system,1
spark character,1
functor factor,1
Frobenius structure,1
other dimension,1
commutative Frobenius object,1
additional equation,1
symmetric Frobenius object,1
matrix Frobenius algebra,1
diagrammatic algebra,1
morphism cospan,1
canonical copairing,1
corelation category,1
general method,1
coherent way,1
network language,1
example circuit diagram,1
example circuit,1
finite groupoid,1
representation theoretic term,1
push map,1
direct motivation,1
equivariant topological field,1
topological field theory,1
topological field,1
Chazal et al,1
real line,1
Bubenik et al,1
generalized persistence module,1
generalized persistence,1
lax semigroup,1
general framework,1
lax monoidal action,1
monoidal action,1
Lawvere metric space,1
concise proof,1
stability result,1
appropriate colax,1
several common metric,1
common metric,1
Hausdorff distance,1
general perspective,1
several new exactness,1
new exactness condition,1
new exactness,1
pointed context,1
canonical congruence,1
trivial isotropy,1
order isotropy,1
ordinal invariant,1
same concept,1
corresponding statement,1
technical work,1
certain suitable subcategorie,1
suitable subcategorie,1
stability result,1
inner fibration,1
fat join operation,1
fat join,1
additional result,1
inner anodyne morphism,1
anodyne morphism,1
Kan adjunction,1
classical result,1
constructive complete distributivity,1
converse implication,1
commutative integral quantale,1
integral quantale,1
Girard quantale,1
loc_f -&gt,1
double power locale,1
power locale monad,1
power locale,1
locale monad,1
certain categorical property,1
double power monad,1
power monad,1
Frobenius adjunction,1
span category,1
standard organizational tool,1
organizational tool,1
left leg,1
ambient category,1
weak pullback,1
restrictive property,1
comprehensive framework,1
individual lax pullback,1
lax pullback complement,1
pullback complement diagram,1
pullback complement,1
complement diagram,1
cancellation rule,1
pullback diagram,1
main construction,1
classical descent theory,1
classical descent,1
descent category,1
formal consequence,1
new theorem,1
Galois theorem,1
formal way,1
formal part,1
pseudomonad theory,1
kan extension,1
descent object,1
alternative perspective,1
guiding template,1
exact morphism,1
arbitrary natural transformation,1
categorical refinement,1
uniqueness statement,1
careful study,1
Tate vector space,1
Tate vector,1
arbitrary exact category,1
exact monoidal structure,1
duality functor,1
intersection number,1
Pontryagin duality,1
compact abelian group,1
final functor,1
presentable one,1
abelian case,1
regular case,1
equivariant Brauer group,1
skew group ring,1
skew group,1
group ring s#g,1
group ring,1
ring s#g,1
smash product s#h,1
product s#h,1
cocommutative Hopf algebra,1
H)-Hopf module,1
commutative Hopf algebra,1
Clifford group,1
commutative base ring,1
commutative base,1
first such example,1
such example,1
new example,1
equivariant Brauer group,1
Brauer group,1
Vietoris coalgebra,1
regular pattern,1
Feynman category,1
coloured operad,1
main ingredient,1
General coherence result,1
General coherence,1
coherence result,1
object functor,1
Ward hereditary axiom,1
hereditary axiom,1
Guitart exactness,1
category monad,1
hereditary map,1
graph rewriting,1
weak duality involution,1
weak duality involution,1
strict duality involution,1
strict duality,1
basic notion,1
contravariant morphism,1
universal characterization,1
technical note,1
dual cocartesian fibration,1
cocartesian fibration,1
cartesian fibration,1
same functor,1
Leibniz algebra,1
Leibniz algebra,1
certain circumstance,1
aforementioned condition,1
outer biderivation,1
double pushout rewrite,1
double pushout,1
pushout rewrite rule,1
pushout rewrite,1
rewrite rule,1
compact closed sub,1
closed sub,1
weak left adjoint,1
weak reflection,1
weak right adjoint,1
Logic multiplicative disjunction,1
multiplicative disjunction,1
epsilon product,1
several model,1
usual mathematical notion,1
mathematical notion,1
previous result,1
convenient smoothness,1
intuitionist model,1
completeness condition,1
autonomous category,1
reflexive version,1
first model,1
complete Schwartz space,1
Schwartz space,1
extra reflexivity condition,1
extra reflexivity,1
reflexivity condition,1
same star,1
Dialogue category,1
compact ordered space,1
open question,1
finitary operation,1
infinite arity,1
equational axiom,1
arbitrary coequalizer,1
pointed category,1
pointed factor,1
factor permutable category,1
regular Gumm category,1
Gumm category,1
normal local projection,1
local projection,1
various algebraic structure,1
abstract clone,1
several variant,1
generalised operad,1
key observation,1
monoid object,1
adjoint pair,1
uniform method,1
general structure,1
semantic adjointness result,1
semantic adjointness,1
adjointness result,1
categorical universal property,1
paper series,1
first installment,1
possible category,1
initial datum,1
minimal way,1
free product,1
formal functorial extension,1
functorial extension,1
Haagerup standard form,1
standard form construction,1
standard form,1
form construction,1
Connes fusion operation,1
fusion operation,1
finite Jones index,1
Jones index,1
algebraic operad,1
single binary operation,1
binary operation,1
computer algebra system,1
computer algebra,1
algebra system,1
pointed version,1
suitable categorical context,1
pointed categorical context,1
finitary regular monad,1
regular monad,1
presentable object,1
many relation,1
fold answer,1
inverse problem,1
homotopical sense,1
strict natural transformation,1
cat group,1
internal object action,1
internal object,1
object action,1
internal automorphism group,1
internal automorphism,1
automorphism group,1
simple criterion,1
last assumption,1
easy proof,1
Hausdorff functor,1
dimensional structure,1
such definition,1
infinite dimension,1
certain type,1
sophisticated technology,1
complete theory,1
spectrum object,1
global point,1
suitable condition,1
relative model category,1
relative model,1
enriched model structure,1
enriched model,1
tangent bundle,1
dual canonical functor,1
syntactical characterization,1
coextensive variety,1
other argument,1
finiteness assumption,1
domain category,1
co-)reflective adjunction,1
abstract self,1
dual context,1
Noether isomorphism theorem,1
Noether isomorphism,1
homological diagram lemma,1
homological diagram,1
other group,1
commutator theory,1
usual product,1
usual commutator,1
dual approach,1
same way,1
certain universal property,1
coherent algebraic structure,1
full strictification,1
different construction,1
weak unit,1
dimensional universal property,1
universal cell,1
composition operation,1
various type,1
unitary equivalence,1
operadic world,1
Grothendieck op,1
fibrant operad,1
symmetric monoidal g-,1
monoidal g-,1
trivial boolean algebra,1
bipointed object,1
skeletal object,1
extranatural transformation,1
similar manner,1
composition lemma,1
Fubini theorem,1
universal characterisation description,1
universal characterisation,1
characterisation description,1
Lie groupoid structure,1
groupoid structure,1
lie groupoid,1
functor lie,1
liegp -&gt,1
morphism tx →x,1
morphism tx,1
tx →x,1
related question,1
reasonable property,1
successive approximation,1
ordinal sequence,1
other colimit,1
free triple,1
triple algebra,1
concurrent game semantic,1
concurrent game,1
single categorical framework,1
operational description,1
final position,1
certain fibredness property,1
certain fibredness,1
fibredness property,1
relevant category,1
categorical congruence modularity,1
congruence modularity,1
categorical congruence distributivity,1
phased coproduct,1
quantum theory,1
global phase,1
categorical isotropy,1
dagger category,1
following way,1
unitary isomorphism,1
wide class,1
small selection,1
dagger adjoint,1
ordinary limit,1
polar decomposition,1
dagger colimit,1
discrete cone,1
arbitrary free monoid,1
free monoid,1
further application,1
monoidal right adjoint,1
respective category,1
noncommutative surface,1
commutative divisor,1
eventual aim,1
general kind,1
noncommutative blowup,1
basic object,1
Grothendieck category,1
certain projective effacement,1
projective effacement,1
such effacement,1
closed point,1
general quasi,1
structural differential geometry,1
classical geometry,1
affine structure,1
free connection,1
several related category,1
related category,1
free connection,1
affine object,1
new condition,1
abstract span,1
fibred right adjoint,1
monoid action,1
various other span,1
other span,1
simplicial functor,1
monoidal simplicial category,1
simplicial category,1
above construction,1
opposite functor,1
certain aspect,1
multimonoidal monad,1
first construction,1
category m_pq,1
p+q compatible pseudomonoid,1
compatible pseudomonoid structure,1
compatible pseudomonoid,1
pseudomonoid structure,1
p+q)-oidal object,1
q)-oidal monad,1
opmonoidal structure,1
compatible way,1
Moore construction,1
Linton type,1
stable coequalizer,1
p+q)-oidal structure,1
Moore object a^t,1
object a^t,1
q)-oidal monad,1
monoidal double functor,1
pseudomonoid structure,1
cell a^t -&gt,1
cell a^t,1
a^t -&gt,1
particular example,1
different proof,1
recent result,1
lie algebra,1
Baxter equation,1
majority term,1
algebraic majority category,1
algebraic majority,1
Heyting algebra,1
many geometric category,1
geometric category,1
ordered set,1
comajority category,1
mild assumption,1
only category,1
Mal’tsev majority category,1
alternative generalization,1
arithmetical category,1
protoarithmetical category,1
exact context,1
exact Mal’tsev majority,1
varietal context,1
Radon probability measure,1
Radon probability,1
finite first moment,1
first moment,1
Wasserstein distance,1
Giry monad,1
polish space,1
finite power,1
like construction,1
finite sample,1
lax monoidal functor,1
monoidal Kan extension,1
colimit characterization,1
integration theory,1
measure theory,1
closed convex subset,1
convex subset,1
short affine map,1
short affine,1
affine map,1
certain quotient category,1
extriangulated category,1
simultaneous generalization,1
respective bar,1
cobar duality,1
operation formalism,1
classical context,1
Koszul duality,1
exact category,1
comprehensive factorization system,1
special interest,1
horizontal bicategory,1
object category,1
relative algebraic geometry,1
octonionic projective space,1
projective space,1
unified direct proof,1
weak algebra morphism,1
weak algebra,1
pseudo morphism,1
particular PIE limit,1
involutive category theory,1
involutive category,1
flexible framework,1
involutive structure,1
linear involution,1
complex vector space,1
complex vector,1
prominent role,1
involutive monoidal category,1
general product,1
involutive functor category,1
usual change,1
operad adjunction,1
colored operad,1
intrinsic approach,1
homotopy monoid,1
Segal category,1
Segal dg,1
homotopy transfer problem,1
homotopy transfer,1
transfer problem,1
Segal algebra,1
cartesian double category,1
category lxdbl,1
oplax functor,1
double category cat,1
category cat,1
many variety,1
Segal category,1
small simplicial set,1
skeletal filtration,1
continuous endomorphism,1
finite partition,1
sheaf theoretic aspect,1
theoretic aspect,1
axiomatic cohesion,1
continuity axiom,1
standard equivalence,1
monoidal fibration,1
lax monoidal pseudofunctor,1
monoidal pseudofunctor,1
family fibration,1
equivalence theorem,1
like stratification,1
constructibility condition,1
certain inclusion,1
other side,1
entrance path category,1
entrance path,1
path category,1
certain homotopy class,1
constructible cosheave,1
additional equivalence,1
stratified covering,1
Segal condition,1
categorical term,1
excision condition,1
Weiss manifold calculus,1
Weiss manifold,1
manifold calculus,1
simplex category,1
cyclic category,1
compositional semantic,1
style diagrammatic language,1
diagrammatic language,1
black boxing problem,1
black boxing,1
boxing problem,1
semantic interpretation,1
previous method,1
corelations method,1
hypergraph category,1
good setting,1
simplicial combinatorial model,1
combinatorial model category,1
diagram factor,1
analogous result,1
homotopy limit,1
other intermediate limit,1
intermediate limit,1
Quillen adjunction,1
Quillen equivalence,1
usual construction,1
categorical homotopy theory,1
categorical homotopy,1
model category,1
simple criterion,1
constructive proof,1
weak version,1
various standard model,1
standard model category,1
standard model,1
Verity model structure,1
Verity model,1
weak complicial set,1
simplicial version,1
single family,1
localization result,1
natural application,1
model bicategory,1
small restriction category,1
small restriction,1
restriction presheave,1
monoid axiom,1
cyclic double multicategory,1
double multicategory,1
multivariable adjunction,1
same information,1
opposite category,1
polycategorical dual,1
full substructure,1
polarized category,1
natural home,1
categorical duality,1
categorical Dialectica construction,1
Dialectica construction,1
different reason,1
apparent difference,1
various way,1
different network model,1
different network,1
different kind,1
such operad,1
symmetric monoidal functor,1
corresponding operad,1
symmetric monoidal version,1
distributive lattice,1
curious feature,1
categorical example,1
multicategorical approach,1
skew monoidal structure,1
braided monoidal bicategorie,1
bialgebraic example,1
coquasitriangular structure,1
